번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
65,밥류,고추장불고기 삼각김밥(강원도),100,165,35.46,3.83,0.91,0.11,303.01,2.96,0.5,0.02
66,밥류,고추장불고기 삼각김밥(경기도),100,167,34.99,3.49,1.46,0.18,323.36,2.89,0.5,0.01
67,밥류,고추장불고기 삼각김밥(경상도),100,165,35.71,3.62,0.84,0.25,419.02,1.58,0.35,0.01
68,밥류,고추장불고기 삼각김밥(서울),100,171,32.98,3.45,2.76,0.19,341.91,3.87,0.51,0
69,밥류,고추장불고기 삼각김밥(전라도),100,164,32.5,3.69,2.18,0.22,316.98,5.66,0.4,0.01
70,밥류,고추장불고기 삼각김밥(충청도),100,160,33.03,3.89,1.32,0.28,353.25,4.09,0.47,0.02
71,밥류,참치마요네즈 삼각김밥,100,161.24,32.55,4,1.67,0.16,358.36,4.04,0.53,0.02
72,밥류,참치마요네즈 삼각김밥(강원도),100,175,31.57,4.16,3.6,0,262.25,3.43,0.59,0.02
73,밥류,참치마요네즈 삼각김밥(경기도),100,166,31.82,3.75,2.66,0,286.03,5.84,0.58,0
74,밥류,참치마요네즈 삼각김밥(경상도),100,171,33.21,3.84,2.57,0,360.54,2.37,0.56,0.02
75,밥류,참치마요네즈 삼각김밥(서울),100,178,31.22,4.16,4.04,0.1,273.81,2.16,0.66,0
76,밥류,참치마요네즈 삼각김밥(전라도),100,174,30.48,3.72,4.14,0.03,242.62,6.9,0.58,0.02
77,밥류,참치마요네즈 삼각김밥(충청도),100,169,33.42,4.01,2.2,0,267.37,5.77,0.6,0.02
78,밥류,숯불갈비 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
79,밥류,숯불갈비 삼각김밥(강원도),100,162,31.24,4.36,2.22,0,324.4,3.67,0.6,0.04
80,밥류,숯불갈비 삼각김밥(경기도),100,160,32.22,3.61,1.83,0.17,370.31,4.82,0.54,0
81,밥류,숯불갈비 삼각김밥(경상도),100,158,33.54,4,0.92,0.25,429.62,2.82,0.42,0.01
82,밥류,숯불갈비 삼각김밥(서울),100,162,32.39,4.16,1.76,0.19,342.88,3.08,0.5,0.02
83,밥류,숯불갈비 삼각김밥(전라도),100,165,32.85,4.01,2,0.17,290.68,5.12,0.6,0.04
84,밥류,숯불갈비 삼각김밥(충청도),100,159,33.04,3.85,1.31,0.21,392.3,4.7,0.51,0.04
85,밥류,제육덮밥,500,782.38,115.48,30.08,22.24,7.28,1538.06,83.76,5.68,0.16
86,밥류,제육덮밥(강원도),500,710,103.12,35.23,17.34,13.59,2065.54,151.07,5.53,0.3
87,밥류,제육덮밥(경기도),500,805,119.76,28.4,23.34,5.92,1291.13,62.42,6.84,0.22
88,밥류,제육덮밥(경상도),500,765,111.81,28.02,22.88,9.08,1618.74,50.24,5.92,0
89,밥류,제육덮밥(서울),500,860,99.4,35.1,35.76,6.4,1562.18,103.1,6.21,0.18
90,밥류,제육덮밥(전라도),500,810,128.8,25.04,21.72,4.96,1304.08,82.44,5.6,0.12
91,밥류,제육덮밥(충청도),500,745,129.99,28.68,12.38,3.69,1386.72,53.32,3.98,0.12
92,밥류,불고기덮밥,500,669.3,102.35,28.62,16.16,4.39,1499.14,66.5,4.57,0.45
93,밥류,불고기덮밥(강원도),500,680,95.92,27.26,20.77,8.05,1529.58,68.6,4.96,0.52
94,밥류,불고기덮밥(경기도),500,675,108.98,27.96,14.06,1.38,1540.48,58.2,4.36,0.47
95,밥류,불고기덮밥(경상도),500,655,106.48,26.67,13.52,2.9,1531.82,60.41,4.92,0.5
96,밥류,불고기덮밥(서울),500,640,74.16,38.41,21.22,5.11,1555.92,96.21,5.24,0.55
97,밥류,불고기덮밥(전라도),500,700,118.82,20.58,15.7,3.37,1354.92,47.7,3.64,0.23
98,밥류,불고기덮밥(충청도),500,665,109.75,30.86,11.66,5.55,1482.12,67.9,4.3,0.42
99,밥류,오징어 덮밥,500,679.9,107.31,31.5,13.85,5.71,1622.91,280.59,2.31,0.09
100,밥류,오징어 덮밥(강원도),500,730,128.82,28.3,11.34,8.78,1611.65,183.24,2.1,0.1
